date,value
1/1/1959,1657
2/1/1959,1667
3/1/1959,1620
4/1/1959,1590
5/1/1959,1498
6/1/1959,1503
7/1/1959,1547
8/1/1959,1430
9/1/1959,1540
10/1/1959,1355
11/1/1959,1416
12/1/1959,1601
1/1/1960,1460
2/1/1960,1503
3/1/1960,1109
4/1/1960,1289
5/1/1960,1271
6/1/1960,1247
7/1/1960,1197
8/1/1960,1344
9/1/1960,1097
10/1/1960,1246
11/1/1960,1246
12/1/1960,1063
1/1/1961,1183
2/1/1961,1226
3/1/1961,1312
4/1/1961,1166
5/1/1961,1228
6/1/1961,1382
7/1/1961,1335
8/1/1961,1312
9/1/1961,1429
10/1/1961,1415
11/1/1961,1385
12/1/1961,1365
1/1/1962,1361
2/1/1962,1278
3/1/1962,1443
4/1/1962,1524
5/1/1962,1483
6/1/1962,1404
7/1/1962,1450
8/1/1962,1517
9/1/1962,1324
10/1/1962,1533
11/1/1962,1622
12/1/1962,1564
1/1/1963,1244
2/1/1963,1456
3/1/1963,1534
4/1/1963,1689
5/1/1963,1641
6/1/1963,1588
7/1/1963,1614
8/1/1963,1639
9/1/1963,1763
10/1/1963,1779
11/1/1963,1622
12/1/1963,1491
1/1/1964,1603
2/1/1964,1820
3/1/1964,1517
4/1/1964,1448
5/1/1964,1467
6/1/1964,1550
7/1/1964,1562
8/1/1964,1569
9/1/1964,1455
10/1/1964,1524
11/1/1964,1486
12/1/1964,1484
1/1/1965,1361
2/1/1965,1433
3/1/1965,1423
4/1/1965,1438
5/1/1965,1478
6/1/1965,1488
7/1/1965,1529
8/1/1965,1432
9/1/1965,1482
10/1/1965,1452
11/1/1965,1460
12/1/1965,1656
1/1/1966,1370
2/1/1966,1378
3/1/1966,1394
4/1/1966,1352
5/1/1966,1265
6/1/1966,1194
7/1/1966,1086
8/1/1966,1119
9/1/1966,1046
10/1/1966,843
11/1/1966,961
12/1/1966,990
1/1/1967,1067
2/1/1967,1123
3/1/1967,1056
4/1/1967,1091
5/1/1967,1304
6/1/1967,1248
7/1/1967,1364
8/1/1967,1407
9/1/1967,1421
10/1/1967,1491
11/1/1967,1538
12/1/1967,1308
1/1/1968,1380
2/1/1968,1520
3/1/1968,1466
4/1/1968,1554
5/1/1968,1408
6/1/1968,1405
7/1/1968,1512
8/1/1968,1495
9/1/1968,1556
10/1/1968,1569
11/1/1968,1630
12/1/1968,1548
1/1/1969,1769
2/1/1969,1705
3/1/1969,1561
4/1/1969,1524
5/1/1969,1583
6/1/1969,1528
7/1/1969,1368
8/1/1969,1358
9/1/1969,1507
10/1/1969,1381
11/1/1969,1229
12/1/1969,1327
1/1/1970,1085
2/1/1970,1305
3/1/1970,1319
4/1/1970,1264
5/1/1970,1290
6/1/1970,1385
7/1/1970,1517
8/1/1970,1399
9/1/1970,1534
10/1/1970,1580
11/1/1970,1647
12/1/1970,1893
1/1/1971,1828
2/1/1971,1741
3/1/1971,1910
4/1/1971,1986
5/1/1971,2049
6/1/1971,2026
7/1/1971,2083
8/1/1971,2158
9/1/1971,2041
10/1/1971,2128
11/1/1971,2182
12/1/1971,2295
1/1/1972,2494
2/1/1972,2390
3/1/1972,2334
4/1/1972,2249
5/1/1972,2221
6/1/1972,2254
7/1/1972,2252
8/1/1972,2382
9/1/1972,2481
10/1/1972,2485
11/1/1972,2421
12/1/1972,2366
1/1/1973,2481
2/1/1973,2289
3/1/1973,2365
4/1/1973,2084
5/1/1973,2266
6/1/1973,2067
7/1/1973,2123
8/1/1973,2051
9/1/1973,1874
10/1/1973,1677
11/1/1973,1724
12/1/1973,1526
1/1/1974,1451
2/1/1974,1752
3/1/1974,1555
4/1/1974,1607
5/1/1974,1426
6/1/1974,1513
7/1/1974,1316
8/1/1974,1142
9/1/1974,1150
10/1/1974,1070
11/1/1974,1026
12/1/1974,975
1/1/1975,1032
2/1/1975,904
3/1/1975,993
4/1/1975,1005
5/1/1975,1121
6/1/1975,1087
7/1/1975,1226
8/1/1975,1260
9/1/1975,1264
10/1/1975,1344
11/1/1975,1360
12/1/1975,1321
1/1/1976,1367
2/1/1976,1538
3/1/1976,1421
4/1/1976,1395
5/1/1976,1459
6/1/1976,1495
7/1/1976,1401
8/1/1976,1550
9/1/1976,1720
10/1/1976,1629
11/1/1976,1641
12/1/1976,1804
1/1/1977,1527
2/1/1977,1943
3/1/1977,2063
4/1/1977,1892
5/1/1977,1971
6/1/1977,1893
7/1/1977,2058
8/1/1977,2020
9/1/1977,1949
10/1/1977,2042
11/1/1977,2042
12/1/1977,2142
1/1/1978,1718
2/1/1978,1738
3/1/1978,2032
4/1/1978,2197
5/1/1978,2075
6/1/1978,2070
7/1/1978,2092
8/1/1978,1996
9/1/1978,1970
10/1/1978,1981
11/1/1978,2094
12/1/1978,2044
1/1/1979,1630
2/1/1979,1520
3/1/1979,1847
4/1/1979,1748
5/1/1979,1876
6/1/1979,1913
7/1/1979,1760
8/1/1979,1778
9/1/1979,1832
10/1/1979,1681
11/1/1979,1524
12/1/1979,1498
1/1/1980,1341
2/1/1980,1350
3/1/1980,1047
4/1/1980,1051
5/1/1980,927
6/1/1980,1196
7/1/1980,1269
8/1/1980,1436
9/1/1980,1471
10/1/1980,1523
11/1/1980,1510
12/1/1980,1482
1/1/1981,1547
2/1/1981,1246
3/1/1981,1306
4/1/1981,1360
5/1/1981,1140
6/1/1981,1045
7/1/1981,1041
8/1/1981,940
9/1/1981,911
10/1/1981,873
11/1/1981,837
12/1/1981,910
1/1/1982,843
2/1/1982,866
3/1/1982,931
4/1/1982,917
5/1/1982,1025
6/1/1982,902
7/1/1982,1166
8/1/1982,1046
9/1/1982,1144
10/1/1982,1173
11/1/1982,1372
12/1/1982,1303
1/1/1983,1586
2/1/1983,1699
3/1/1983,1606
4/1/1983,1472
5/1/1983,1776
6/1/1983,1733
7/1/1983,1785
8/1/1983,1910
9/1/1983,1710
10/1/1983,1715
11/1/1983,1785
12/1/1983,1688
1/1/1984,1897
2/1/1984,2260
3/1/1984,1663
4/1/1984,1851
5/1/1984,1774
6/1/1984,1843
7/1/1984,1732
8/1/1984,1586
9/1/1984,1698
10/1/1984,1590
11/1/1984,1689
12/1/1984,1612
1/1/1985,1711
2/1/1985,1632
3/1/1985,1800
4/1/1985,1821
5/1/1985,1680
6/1/1985,1676
7/1/1985,1684
8/1/1985,1743
9/1/1985,1676
10/1/1985,1834
11/1/1985,1698
12/1/1985,1942
1/1/1986,1972
2/1/1986,1848
3/1/1986,1876
4/1/1986,1933
5/1/1986,1854
6/1/1986,1847
7/1/1986,1782
8/1/1986,1807
9/1/1986,1687
10/1/1986,1681
11/1/1986,1623
12/1/1986,1833
1/1/1987,1774
2/1/1987,1784
3/1/1987,1726
4/1/1987,1614
5/1/1987,1628
6/1/1987,1594
7/1/1987,1575
8/1/1987,1605
9/1/1987,1695
10/1/1987,1515
11/1/1987,1656
12/1/1987,1400
1/1/1988,1271
2/1/1988,1473
3/1/1988,1532
4/1/1988,1573
5/1/1988,1421
6/1/1988,1478
7/1/1988,1467
8/1/1988,1493
9/1/1988,1492
10/1/1988,1522
11/1/1988,1569
12/1/1988,1563
1/1/1989,1621
2/1/1989,1425
3/1/1989,1422
4/1/1989,1339
5/1/1989,1331
6/1/1989,1397
7/1/1989,1427
8/1/1989,1332
9/1/1989,1279
10/1/1989,1410
11/1/1989,1351
12/1/1989,1251
1/1/1990,1551
2/1/1990,1437
3/1/1990,1289
4/1/1990,1248
5/1/1990,1212
6/1/1990,1177
7/1/1990,1171
8/1/1990,1115
9/1/1990,1110
10/1/1990,1014
11/1/1990,1145
12/1/1990,969
1/1/1991,798
2/1/1991,965
3/1/1991,921
4/1/1991,1001
5/1/1991,996
6/1/1991,1036
7/1/1991,1063
8/1/1991,1049
9/1/1991,1015
10/1/1991,1079
11/1/1991,1103
12/1/1991,1079
1/1/1992,1176
2/1/1992,1250
3/1/1992,1297
4/1/1992,1099
5/1/1992,1214
6/1/1992,1145
7/1/1992,1139
8/1/1992,1226
9/1/1992,1186
10/1/1992,1244
11/1/1992,1214
12/1/1992,1227
1/1/1993,1210
2/1/1993,1210
3/1/1993,1083
4/1/1993,1258
5/1/1993,1260
6/1/1993,1280
7/1/1993,1254
8/1/1993,1300
9/1/1993,1343
10/1/1993,1392
11/1/1993,1376
12/1/1993,1533
1/1/1994,1272
2/1/1994,1337
3/1/1994,1564
4/1/1994,1465
5/1/1994,1526
6/1/1994,1409
7/1/1994,1439
8/1/1994,1450
9/1/1994,1474
10/1/1994,1450
11/1/1994,1511
12/1/1994,1455
1/1/1995,1407
2/1/1995,1316
3/1/1995,1249
4/1/1995,1267
5/1/1995,1314
6/1/1995,1281
7/1/1995,1461
8/1/1995,1416
9/1/1995,1369
10/1/1995,1369
11/1/1995,1452
12/1/1995,1431
1/1/1996,1467
2/1/1996,1491
3/1/1996,1424
4/1/1996,1516
5/1/1996,1504
6/1/1996,1467
7/1/1996,1472
8/1/1996,1557
9/1/1996,1475
10/1/1996,1392
11/1/1996,1489
12/1/1996,1370
1/1/1997,1355
2/1/1997,1486
3/1/1997,1457
4/1/1997,1492
5/1/1997,1442
6/1/1997,1494
7/1/1997,1437
8/1/1997,1390
9/1/1997,1546
10/1/1997,1520
11/1/1997,1510
12/1/1997,1566
1/1/1998,1525
2/1/1998,1584
3/1/1998,1567
4/1/1998,1540
5/1/1998,1536
6/1/1998,1641
7/1/1998,1698
8/1/1998,1614
9/1/1998,1582
10/1/1998,1715
11/1/1998,1660
12/1/1998,1792
1/1/1999,1748
2/1/1999,1670
3/1/1999,1710
4/1/1999,1553
5/1/1999,1611
6/1/1999,1559
7/1/1999,1669
8/1/1999,1648
9/1/1999,1635
10/1/1999,1608
11/1/1999,1648
12/1/1999,1708
1/1/2000,1636
2/1/2000,1737
3/1/2000,1604
4/1/2000,1626
5/1/2000,1575
6/1/2000,1559
7/1/2000,1463
8/1/2000,1541
9/1/2000,1507
10/1/2000,1549
11/1/2000,1551
12/1/2000,1532
1/1/2001,1600
2/1/2001,1625
3/1/2001,1590
4/1/2001,1649
5/1/2001,1605
6/1/2001,1636
7/1/2001,1670
8/1/2001,1567
9/1/2001,1562
10/1/2001,1540
11/1/2001,1602
12/1/2001,1568
1/1/2002,1698
2/1/2002,1829
3/1/2002,1642
4/1/2002,1592
5/1/2002,1764
6/1/2002,1717
7/1/2002,1655
8/1/2002,1633
9/1/2002,1804
10/1/2002,1648
11/1/2002,1753
12/1/2002,1788
1/1/2003,1853
2/1/2003,1629
3/1/2003,1726
4/1/2003,1643
5/1/2003,1751
6/1/2003,1867
7/1/2003,1897
8/1/2003,1833
9/1/2003,1939
10/1/2003,1967
11/1/2003,2083
12/1/2003,2057
1/1/2004,1911
2/1/2004,1846
3/1/2004,1998
4/1/2004,2003
5/1/2004,1981
6/1/2004,1828
7/1/2004,2002
8/1/2004,2024
9/1/2004,1905
10/1/2004,2072
11/1/2004,1782
12/1/2004,2042
1/1/2005,2144
2/1/2005,2207
3/1/2005,1864
4/1/2005,2061
5/1/2005,2025
6/1/2005,2068
7/1/2005,2054
8/1/2005,2095
9/1/2005,2151
10/1/2005,2065
11/1/2005,2147
12/1/2005,1994
1/1/2006,2273
2/1/2006,2119
3/1/2006,1969
4/1/2006,1821
5/1/2006,1942
6/1/2006,1802
7/1/2006,1737
8/1/2006,1650
9/1/2006,1720
10/1/2006,1491
11/1/2006,1570
12/1/2006,1649
1/1/2007,1409
2/1/2007,1480
3/1/2007,1495
4/1/2007,1490
5/1/2007,1415
6/1/2007,1448
7/1/2007,1354
8/1/2007,1330
9/1/2007,1183
10/1/2007,1264
11/1/2007,1197
12/1/2007,1037
1/1/2008,1084
2/1/2008,1103
3/1/2008,1005
4/1/2008,1013
5/1/2008,973
6/1/2008,1046
7/1/2008,923
8/1/2008,844
9/1/2008,820
10/1/2008,777
11/1/2008,652
12/1/2008,560
1/1/2009,490
2/1/2009,582
3/1/2009,505
4/1/2009,478
5/1/2009,540
6/1/2009,585
7/1/2009,594
8/1/2009,586
9/1/2009,585
10/1/2009,534
11/1/2009,588
12/1/2009,581
1/1/2010,614
2/1/2010,604
3/1/2010,636
4/1/2010,687
5/1/2010,583
6/1/2010,536
7/1/2010,546
8/1/2010,599
9/1/2010,594
10/1/2010,543
11/1/2010,545
12/1/2010,539
1/1/2011,630
2/1/2011,517
3/1/2011,600
4/1/2011,554
5/1/2011,561
6/1/2011,608
7/1/2011,623
8/1/2011,585
9/1/2011,650
10/1/2011,610
11/1/2011,711
12/1/2011,694
1/1/2012,723
2/1/2012,704
3/1/2012,695
4/1/2012,753
5/1/2012,708
6/1/2012,757
7/1/2012,740
8/1/2012,754
9/1/2012,847
10/1/2012,915
11/1/2012,833
12/1/2012,976
1/1/2013,888
2/1/2013,962
3/1/2013,1010
4/1/2013,835
5/1/2013,930
6/1/2013,839
7/1/2013,880
8/1/2013,917
9/1/2013,850
10/1/2013,925
11/1/2013,1100
12/1/2013,1002
1/1/2014,888
2/1/2014,944
3/1/2014,970
4/1/2014,1043
5/1/2014,1007
6/1/2014,911
7/1/2014,1085
8/1/2014,984
9/1/2014,1023
10/1/2014,1074
11/1/2014,1001
12/1/2014,1073
1/1/2015,1092
2/1/2015,888
3/1/2015,962
4/1/2015,1191
5/1/2015,1081
6/1/2015,1199
7/1/2015,1138
8/1/2015,1132
9/1/2015,1215
10/1/2015,1062
11/1/2015,1169
12/1/2015,1157
1/1/2016,1114
2/1/2016,1208
3/1/2016,1115
4/1/2016,1160
5/1/2016,1131
6/1/2016,1191
7/1/2016,1232
8/1/2016,1159
9/1/2016,1063
10/1/2016,1325
11/1/2016,1150
12/1/2016,1287
1/1/2017,1221
2/1/2017,1292
3/1/2017,1179
4/1/2017,1152
5/1/2017,1124
6/1/2017,1232
7/1/2017,1196
8/1/2017,1167
9/1/2017,1163
10/1/2017,1261
11/1/2017,1299
12/1/2017,1219
1/1/2018,1335
2/1/2018,1295
3/1/2018,1332
4/1/2018,1267
5/1/2018,1332
6/1/2018,1180
7/1/2018,1184
8/1/2018,1279
9/1/2018,1246
10/1/2018,1207
11/1/2018,1204
12/1/2018,1117
1/1/2019,1272
2/1/2019,1137
3/1/2019,1203
4/1/2019,1267
5/1/2019,1268
6/1/2019,1235
7/1/2019,1212
8/1/2019,1377
9/1/2019,1274
10/1/2019,1340
11/1/2019,1371
12/1/2019,1587
1/1/2020,1617
2/1/2020,1567
3/1/2020,1269
4/1/2020,934
5/1/2020,1038
6/1/2020,1265
7/1/2020,1492
8/1/2020,1416
